step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
129,0,0,7,11,1.0,-0.20545947551727295,1.0,0.0,-0.0039221360348165035
130,0,0,7,12,1.0,-0.11694991588592529,1.0,0.0,-0.003636772744357586
131,0,0,7,13,1.0,-0.10722434520721436,1.0,0.0,-0.003614970715716481
132,0,0,7,14,1.0,-0.11368048191070557,1.0,0.0,-0.0036292325239628553
133,0,0,7,15,1.0,-0.1813678741455078,1.0,0.0,-0.003828943008556962
134,0,0,7,16,1.0,-0.19949746131896973,1.0,0.0,-0.003897992428392172
135,0,0,7,17,1.0,-0.05153524875640869,1.0,0.0,-0.003526558866724372
136,0,0,7,18,1.0,-0.15168452262878418,1.0,0.0,-0.0037300819531083107
137,0,0,7,19,1.0,-0.1963493824005127,1.0,0.0,-0.0038855308666825294
138,0,0,7,20,1.0,-0.23475825786590576,1.0,0.0,-0.004051114432513714
139,0,0,8,1,1.0,-0.2548999786376953,1.0,0.0,-0.004149740096181631
140,0,0,8,2,1.0,-0.15555298328399658,1.0,0.0,-0.0037419672589749098
141,0,0,8,3,1.0,-0.11272120475769043,1.0,0.0,-0.003627060679718852
142,0,0,8,4,1.0,-0.17955422401428223,1.0,0.0,-0.003822397207841277
143,0,0,8,5,1.0,-0.25068795680999756,1.0,0.0,-0.0041284444741904736
144,0,0,8,6,1.0,-0.2375962734222412,1.0,0.0,-0.004064519889652729
145,0,0,8,7,1.0,-0.18863463401794434,1.0,0.0,-0.003855830291286111
146,0,0,8,8,1.0,-0.12479650974273682,1.0,0.0,-0.0036557416897267103
147,0,0,8,9,1.0,-0.06004905700683594,1.0,0.0,-0.003536058822646737
148,0,0,8,10,1.0,-0.15274345874786377,1.0,0.0,-0.003733305726200342
149,0,0,8,11,1.0,-0.14364099502563477,1.0,0.0,-0.0037063274066895247
150,0,0,8,12,1.0,-0.11377930641174316,1.0,0.0,-0.0036294572055339813
151,0,0,8,13,1.0,-0.10037672519683838,1.0,0.0,-0.003600754775106907
152,0,0,8,14,1.0,-0.11002206802368164,1.0,0.0,-0.003621048526838422
153,0,0,8,15,1.0,-0.2398543357849121,1.0,0.0,-0.004075300879776478
154,0,0,8,16,1.0,-0.10670757293701172,1.0,0.0,-0.003613865002989769
155,0,0,8,17,1.0,-0.044396162033081055,1.0,0.0,-0.0035197101533412933
156,0,0,8,18,1.0,-0.15673983097076416,1.0,0.0,-0.0037456736899912357
157,0,0,8,19,1.0,-0.19493746757507324,1.0,0.0,-0.0038800062611699104
158,0,0,8,20,1.0,-0.246759295463562,1.0,0.0,-0.004108901601284742
159,0,0,9,1,1.0,-0.243760347366333,1.0,0.0,-0.0040941908955574036
160,0,0,9,2,1.0,-0.15488803386688232,1.0,0.0,-0.0037399029824882746
161,0,0,9,3,1.0,-0.13487780094146729,1.0,0.0,-0.003681920235976577
162,0,0,9,4,1.0,-0.20508015155792236,1.0,0.0,-0.0039205788634717464
163,0,0,9,5,1.0,-0.25116539001464844,1.0,0.0,-0.004130840301513672
164,0,0,9,6,1.0,-0.232496976852417,1.0,0.0,-0.004040548577904701
165,0,0,9,7,1.0,-0.19038677215576172,1.0,0.0,-0.00386247131973505
166,0,0,9,8,1.0,-0.11284220218658447,1.0,0.0,-0.0036273335572332144
167,0,0,9,9,1.0,-0.10801422595977783,1.0,0.0,-0.0036166708450764418
168,0,0,9,10,1.0,-0.17301559448242188,1.0,0.0,-0.0037993439473211765
