step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
150,0,0,8,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
151,0,0,8,13,1.0,-1.9999998807907104,1.0,0.0,-0.04349999523162856
152,0,0,8,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
153,0,0,8,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
154,0,0,8,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
155,0,0,8,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
156,0,0,8,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
157,0,0,8,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
158,0,0,8,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
159,0,0,9,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
160,0,0,9,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
161,0,0,9,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
162,0,0,9,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
163,0,0,9,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
164,0,0,9,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
165,0,0,9,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
166,0,0,9,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
167,0,0,9,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
168,0,0,9,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
169,0,0,9,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
170,0,0,9,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
171,0,0,9,13,1.0,-1.9999998807907104,1.0,0.0,-0.04349999523162856
172,0,0,9,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
173,0,0,9,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
174,0,0,9,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
175,0,0,9,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
176,0,0,9,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
177,0,0,9,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
178,0,0,9,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
179,0,0,10,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
180,0,0,10,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
181,0,0,10,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
182,0,0,10,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
183,0,0,10,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
184,0,0,10,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
185,0,0,10,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
186,0,0,10,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
187,0,0,10,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
188,0,0,10,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
189,0,0,10,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
190,0,0,10,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
191,0,0,10,13,1.0,-1.9999998807907104,1.0,0.0,-0.04349999523162856
192,0,0,10,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
193,0,0,10,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
194,0,0,10,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
195,0,0,10,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
196,0,0,10,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
197,0,0,10,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
198,0,0,10,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
199,0,0,11,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
200,0,0,11,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
201,0,0,11,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
202,0,0,11,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
203,0,0,11,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
204,0,0,11,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
205,0,0,11,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
206,0,0,11,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
