envId,formationType,timeStep,receiverId,sigma_rssi_bar,sigma_gps_bar,snr_bar,plr_bar,relative_speed_bar,relative_height_bar,trusted_count,trust_bar,theta
0,1,9,19,76.816147588173,76.816147588173,Inf,1,0,7.34687264741979,16,0.999999999999999,10
0,1,9,20,135.181596361048,135.181596361048,Inf,1,0,5.6754518934465,16,0.999999999999998,10
0,1,10,1,46.4705689169894,46.4705689169895,Inf,1,0,5.12706160341782,16,0.999999999999999,10
0,1,10,2,128.810839703762,128.810839703762,Inf,1,0,7.31572868370343,16,0.999999999999999,10
0,1,10,3,184.473764917656,184.473764917657,Inf,1,0,7.47162918325744,16,0.999999999999999,10
0,1,10,4,105.777146868561,105.777146868561,Inf,1,0,6.87415705246349,16,0.999999999999999,10
0,1,10,5,80.509566793048,80.5095667930482,Inf,1,0,5.99079658376258,16,0.999999999999999,10
0,1,10,6,116.306052563263,116.306052563263,Inf,1,0,5.59198420777973,16,0.999999999999998,10
0,1,10,7,149.970895578704,149.970895578704,Inf,1,0,6.92478603840012,16,0.999999999999998,10
0,1,10,8,80.9490871031661,80.9490871031662,Inf,1,0,7.51112127721805,16,0.999999999999999,10
0,1,10,9,104.704827000473,104.704827000473,Inf,1,0,6.08888796713876,16,0.999999999999999,10
0,1,10,10,103.557247087183,103.557247087184,Inf,1,0,5.26414337678914,16,0.999999999999999,10
0,1,10,11,42.6174743536664,42.6174743536664,Inf,1,0,6.95731701115336,16,0.999999999999999,10
0,1,10,12,105.281211780344,105.281211780344,Inf,1,0,5.2752339891143,16,0.999999999999999,10
0,1,10,13,56.4270044986526,56.4270044986526,Inf,1,0,7.30579235178771,16,0.999999999999999,10
0,1,10,14,58.2751278664496,58.2751278664497,Inf,1,0,10.8766445196938,16,0.999999999999999,10
0,1,10,15,75.0377281480487,75.0377281480488,Inf,1,0,8.13137205245123,16,0.999999999999999,10
0,1,10,16,57.6854867624525,57.6854867624526,Inf,1,0,5.43878218444789,16,0.999999999999999,10
0,1,10,17,96.7381116163766,96.7381116163766,Inf,1,0,6.21995063861491,16,0.999999999999999,10
0,1,10,18,137.299018667413,137.299018667413,Inf,1,0,5.6621911703417,16,0.999999999999999,10
0,1,10,19,76.816147588173,76.816147588173,Inf,1,0,7.34687264741979,16,0.999999999999999,10
0,1,10,20,135.181596361048,135.181596361048,Inf,1,0,5.6754518934465,16,0.999999999999998,10
0,1,11,1,46.4705689169894,46.4705689169895,Inf,1,0,5.12706160341782,16,0.999999999999999,10
0,1,11,2,128.810839703762,128.810839703762,Inf,1,0,7.31572868370343,16,0.999999999999999,10
0,1,11,3,184.473764917656,184.473764917657,Inf,1,0,7.47162918325744,16,0.999999999999999,10
0,1,11,4,105.777146868561,105.777146868561,Inf,1,0,6.87415705246349,16,0.999999999999999,10
0,1,11,5,80.509566793048,80.5095667930482,Inf,1,0,5.99079658376258,16,0.999999999999999,10
0,1,11,6,116.306052563263,116.306052563263,Inf,1,0,5.59198420777973,16,0.999999999999998,10
0,1,11,7,149.970895578704,149.970895578704,Inf,1,0,6.92478603840012,16,0.999999999999998,10
0,1,11,8,80.9490871031661,80.9490871031662,Inf,1,0,7.51112127721805,16,0.999999999999999,10
0,1,11,9,104.704827000473,104.704827000473,Inf,1,0,6.08888796713876,16,0.999999999999999,10
0,1,11,10,103.557247087183,103.557247087184,Inf,1,0,5.26414337678914,16,0.999999999999999,10
0,1,11,11,42.6174743536664,42.6174743536664,Inf,1,0,6.95731701115336,16,0.999999999999999,10
0,1,11,12,105.281211780344,105.281211780344,Inf,1,0,5.2752339891143,16,0.999999999999999,10
0,1,11,13,56.4270044986526,56.4270044986526,Inf,1,0,7.30579235178771,16,0.999999999999999,10
0,1,11,14,58.2751278664496,58.2751278664497,Inf,1,0,10.8766445196938,16,0.999999999999999,10
0,1,11,15,75.0377281480487,75.0377281480488,Inf,1,0,8.13137205245123,16,0.999999999999999,10
0,1,11,16,57.6854867624525,57.6854867624526,Inf,1,0,5.43878218444789,16,0.999999999999999,10
0,1,11,17,96.7381116163766,96.7381116163766,Inf,1,0,6.21995063861491,16,0.999999999999999,10
0,1,11,18,137.299018667413,137.299018667413,Inf,1,0,5.6621911703417,16,0.999999999999999,10
0,1,11,19,76.816147588173,76.816147588173,Inf,1,0,7.34687264741979,16,0.999999999999999,10
0,1,11,20,135.181596361048,135.181596361048,Inf,1,0,5.6754518934465,16,0.999999999999998,10
0,1,12,1,46.4705689169894,46.4705689169895,Inf,1,0,5.12706160341782,16,0.999999999999999,10
