step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
233,0,0,12,15,50.0,2.0,50.0,0.0,-0.0925
234,0,0,12,16,50.0,2.0,50.0,0.0,-0.0925
235,0,0,12,17,50.0,2.0,50.0,0.0,-0.0925
236,0,0,12,18,50.0,2.0,50.0,0.0,-0.0925
237,0,0,12,19,50.0,2.0,50.0,0.0,-0.0925
238,0,0,12,20,50.0,2.0,50.0,0.0,-0.0925
239,0,0,13,1,50.0,2.0,50.0,0.0,-0.0925
240,0,0,13,2,50.0,2.0,50.0,0.0,-0.0925
241,0,0,13,3,50.0,2.0,50.0,0.0,-0.0925
242,0,0,13,4,50.0,2.0,50.0,0.0,-0.0925
243,0,0,13,5,50.0,2.0,50.0,0.0,-0.0925
244,0,0,13,6,50.0,2.0,50.0,0.0,-0.0925
245,0,0,13,7,50.0,2.0,50.0,0.0,-0.0925
246,0,0,13,8,50.0,2.0,50.0,0.0,-0.0925
247,0,0,13,9,50.0,2.0,50.0,0.0,-0.0925
248,0,0,13,10,50.0,2.0,50.0,0.0,-0.0925
249,0,0,13,11,50.0,2.0,50.0,0.0,-0.0925
250,0,0,13,12,50.0,2.0,50.0,0.0,-0.0925
251,0,0,13,13,50.0,1.9999995231628418,50.0,0.0,-0.09249998092651596
252,0,0,13,14,50.0,2.0,50.0,0.0,-0.0925
253,0,0,13,15,50.0,2.0,50.0,0.0,-0.0925
254,0,0,13,16,50.0,2.0,50.0,0.0,-0.0925
255,0,0,13,17,50.0,2.0,50.0,0.0,-0.0925
256,0,0,13,18,50.0,2.0,50.0,0.0,-0.0925
257,0,0,13,19,50.0,2.0,50.0,0.0,-0.0925
258,0,0,13,20,50.0,2.0,50.0,0.0,-0.0925
259,0,0,14,1,50.0,2.0,50.0,0.0,-0.0925
260,0,0,14,2,50.0,2.0,50.0,0.0,-0.0925
261,0,0,14,3,50.0,2.0,50.0,0.0,-0.0925
262,0,0,14,4,50.0,2.0,50.0,0.0,-0.0925
263,0,0,14,5,50.0,2.0,50.0,0.0,-0.0925
264,0,0,14,6,50.0,2.0,50.0,0.0,-0.0925
265,0,0,14,7,50.0,2.0,50.0,0.0,-0.0925
266,0,0,14,8,50.0,2.0,50.0,0.0,-0.0925
267,0,0,14,9,50.0,2.0,50.0,0.0,-0.0925
268,0,0,14,10,50.0,2.0,50.0,0.0,-0.0925
269,0,0,14,11,50.0,2.0,50.0,0.0,-0.0925
270,0,0,14,12,50.0,2.0,50.0,0.0,-0.0925
271,0,0,14,13,50.0,2.0,50.0,0.0,-0.0925
272,0,0,14,14,50.0,2.0,50.0,0.0,-0.0925
273,0,0,14,15,50.0,2.0,50.0,0.0,-0.0925
274,0,0,14,16,50.0,2.0,50.0,0.0,-0.0925
275,0,0,14,17,50.0,2.0,50.0,0.0,-0.0925
276,0,0,14,18,50.0,2.0,50.0,0.0,-0.0925
277,0,0,14,19,50.0,2.0,50.0,0.0,-0.0925
278,0,0,14,20,50.0,2.0,50.0,0.0,-0.0925
279,0,0,15,1,50.0,2.0,50.0,0.0,-0.0925
280,0,0,15,2,50.0,2.0,50.0,0.0,-0.0925
281,0,0,15,3,50.0,2.0,50.0,0.0,-0.0925
282,0,0,15,4,50.0,2.0,50.0,0.0,-0.0925
283,0,0,15,5,50.0,2.0,50.0,0.0,-0.0925
284,0,0,15,6,50.0,2.0,50.0,0.0,-0.0925
285,0,0,15,7,50.0,2.0,50.0,0.0,-0.0925
286,0,0,15,8,50.0,2.0,50.0,0.0,-0.0925
287,0,0,15,9,50.0,2.0,50.0,0.0,-0.0925
288,0,0,15,10,50.0,2.0,50.0,0.0,-0.0925
289,0,0,15,11,50.0,2.0,50.0,0.0,-0.0925
290,0,0,15,12,50.0,2.0,50.0,0.0,-0.0925
291,0,0,15,13,50.0,2.0,50.0,0.0,-0.0925
292,0,0,15,14,50.0,2.0,50.0,0.0,-0.0925
293,0,0,15,15,50.0,2.0,50.0,0.0,-0.0925
294,0,0,15,16,50.0,2.0,50.0,0.0,-0.0925
295,0,0,15,17,50.0,2.0,50.0,0.0,-0.0925
296,0,0,15,18,50.0,2.0,50.0,0.0,-0.0925
297,0,0,15,19,50.0,2.0,50.0,0.0,-0.0925
298,0,0,15,20,50.0,2.0,50.0,0.0,-0.0925
299,0,0,16,1,50.0,2.0,50.0,0.0,-0.0925
300,0,0,16,2,50.0,2.0,50.0,0.0,-0.0925
301,0,0,16,3,50.0,2.0,50.0,0.0,-0.0925
302,0,0,16,4,50.0,2.0,50.0,0.0,-0.0925
303,0,0,16,5,50.0,2.0,50.0,0.0,-0.0925
304,0,0,16,6,50.0,2.0,50.0,0.0,-0.0925
305,0,0,16,7,50.0,2.0,50.0,0.0,-0.0925
306,0,0,16,8,50.0,2.0,50.0,0.0,-0.0925
307,0,0,16,9,50.0,2.0,50.0,0.0,-0.0925
308,0,0,16,10,50.0,2.0,50.0,0.0,-0.0925
309,0,0,16,11,50.0,2.0,50.0,0.0,-0.0925
310,0,0,16,12,50.0,2.0,50.0,0.0,-0.0925
311,0,0,16,13,50.0,2.0,50.0,0.0,-0.0925
312,0,0,16,14,50.0,2.0,50.0,0.0,-0.0925
313,0,0,16,15,50.0,2.0,50.0,0.0,-0.0925
314,0,0,16,16,50.0,2.0,50.0,0.0,-0.0925
315,0,0,16,17,50.0,2.0,50.0,0.0,-0.0925
316,0,0,16,18,50.0,2.0,50.0,0.0,-0.0925
317,0,0,16,19,50.0,2.0,50.0,0.0,-0.0925
318,0,0,16,20,50.0,2.0,50.0,0.0,-0.0925
319,0,0,17,1,50.0,2.0,50.0,0.0,-0.0925
320,0,0,17,2,50.0,2.0,50.0,0.0,-0.0925
321,0,0,17,3,50.0,2.0,50.0,0.0,-0.0925
322,0,0,17,4,50.0,2.0,50.0,0.0,-0.0925
323,0,0,17,5,50.0,2.0,50.0,0.0,-0.0925
324,0,0,17,6,50.0,2.0,50.0,0.0,-0.0925
325,0,0,17,7,50.0,2.0,50.0,0.0,-0.0925
326,0,0,17,8,50.0,2.0,50.0,0.0,-0.0925
327,0,0,17,9,50.0,2.0,50.0,0.0,-0.0925
328,0,0,17,10,50.0,2.0,50.0,0.0,-0.0925
329,0,0,17,11,50.0,2.0,50.0,0.0,-0.0925
330,0,0,17,12,50.0,2.0,50.0,0.0,-0.0925
331,0,0,17,13,50.0,1.999999761581421,50.0,0.0,-0.09249999046325741
332,0,0,17,14,50.0,2.0,50.0,0.0,-0.0925
333,0,0,17,15,50.0,2.0,50.0,0.0,-0.0925
334,0,0,17,16,50.0,2.0,50.0,0.0,-0.0925
335,0,0,17,17,50.0,2.0,50.0,0.0,-0.0925
336,0,0,17,18,50.0,2.0,50.0,0.0,-0.0925
337,0,0,17,19,50.0,2.0,50.0,0.0,-0.0925
338,0,0,17,20,50.0,2.0,50.0,0.0,-0.0925
339,0,0,18,1,50.0,2.0,50.0,0.0,-0.0925
340,0,0,18,2,50.0,2.0,50.0,0.0,-0.0925
341,0,0,18,3,50.0,2.0,50.0,0.0,-0.0925
